deltaH: 0.175781
Omega_M  Omega_Lambda   Likelihood
0.003125 0.004687 0.000000 
0.003125 0.004687 0.999007 
0.003125 0.009375 0.998964 
0.003125 0.014062 0.998920 
0.003125 0.018750 0.998875 
0.003125 0.023438 0.998830 
0.003125 0.028125 0.998783 
0.003125 0.032813 0.998735 
0.003125 0.037500 0.998687 
0.003125 0.042187 0.998637 
0.003125 0.046875 0.998587 
0.003125 0.051562 0.998536 
0.003125 0.056250 0.998484 
0.003125 0.060937 0.998431 
0.003125 0.065625 0.998377 
0.003125 0.070312 0.998322 
0.003125 0.075000 0.998266 
0.003125 0.079687 0.998209 
0.003125 0.084375 0.998151 
0.003125 0.089063 0.998093 
0.003125 0.093750 0.998033 
0.003125 0.098437 0.997972 
0.003125 0.103125 0.997911 
0.003125 0.107812 0.997848 
0.003125 0.112500 0.997785 
0.003125 0.117188 0.997720 
0.003125 0.121875 0.997655 
0.003125 0.126562 0.997589 
0.003125 0.131250 0.997521 
0.003125 0.135937 0.997453 
0.003125 0.140625 0.997383 
0.003125 0.145312 0.997313 
0.003125 0.150000 0.997242 
0.003125 0.154688 0.997169 
0.003125 0.159375 0.997096 
0.003125 0.164062 0.997021 
0.003125 0.168750 0.996946 
0.003125 0.173437 0.996869 
0.003125 0.178125 0.996792 
0.003125 0.182812 0.996713 
0.003125 0.187500 0.996634 
0.003125 0.192187 0.996553 
0.003125 0.196875 0.996472 
0.003125 0.201563 0.996389 
0.003125 0.206250 0.996305 
0.003125 0.210938 0.996220 
0.003125 0.215625 0.996134 
0.003125 0.220312 0.996047 
0.003125 0.225000 0.995959 
0.003125 0.229687 0.995870 
0.003125 0.234375 0.995779 
0.003125 0.239062 0.995688 
0.003125 0.243750 0.995596 
0.003125 0.248437 0.995502 
0.003125 0.253125 0.995407 
0.003125 0.257812 0.995311 
0.003125 0.262500 0.995214 
0.003125 0.267187 0.995116 
0.003125 0.271875 0.995017 
0.003125 0.276562 0.994917 
0.003125 0.281250 0.994815 
0.003125 0.285938 0.994713 
0.003125 0.290625 0.994609 
0.003125 0.295312 0.994504 
0.003125 0.300000 0.994398 
0.003125 0.304688 0.994290 
0.003125 0.309375 0.994182 
0.003125 0.314062 0.994072 
0.003125 0.318750 0.993961 
0.003125 0.323437 0.993849 
0.003125 0.328125 0.993736 
0.003125 0.332813 0.993621 
0.003125 0.337500 0.993506 
0.003125 0.342187 0.993389 
0.003125 0.346875 0.993271 
0.003125 0.351562 0.993151 
0.003125 0.356250 0.993031 
0.003125 0.360937 0.992909 
0.003125 0.365625 0.992786 
0.003125 0.370312 0.992661 
0.003125 0.375000 0.992536 
0.003125 0.379688 0.992409 
0.003125 0.384375 0.992281 
0.003125 0.389062 0.992151 
0.003125 0.393750 0.992021 
0.003125 0.398438 0.991888 
0.003125 0.403125 0.991755 
0.003125 0.407812 0.991620 
0.003125 0.412500 0.991484 
0.003125 0.417187 0.991347 
0.003125 0.421875 0.991209 
0.003125 0.426563 0.991069 
0.003125 0.431250 0.990927 
0.003125 0.435937 0.990785 
0.003125 0.440625 0.990641 
0.003125 0.445312 0.990495 
0.003125 0.450000 0.990349 
0.003125 0.454687 0.990200 
0.003125 0.459375 0.990051 
0.003125 0.464062 0.989900 
